Ventilation,VO2
21.9,0.574
18.6,0.592
18.6,0.664
19.1,0.667
19.2,0.718
16.9,0.77
18.3,0.927
17.2,0.947
19,1.02
19,1.096
18.6,1.277
22.8,1.323
24.6,1.33
24.9,1.599
29.2,1.639
32,1.787
27.9,1.79
31,1.794
30.7,1.874
35.4,2.049
36.1,2.132
39.1,2.16
42.6,2.292
39.9,2.312
46.2,2.475
50.9,2.489
46.5,2.49
46.3,2.577
55.8,2.766
54.5,2.812
63.5,2.893
60.3,2.957
64.8,3.052
69.2,3.151
74.7,3.161
72.9,3.266
80.4,3.386
83,3.452
86,3.521
88.9,3.543
96.8,3.676
89.1,3.741
100.9,3.844
103,3.878
113.4,4.002
111.4,4.114
119.9,4.152
127.2,4.252
126.4,4.29
135.5,4.331
138.9,4.332
143.7,4.39
144.8,4.393
